SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,15575 Canton Ridge Ter,San Diego,CA,92127,1498300,3,3.5,Rancho Bernardo,1939,5133,2006,6,773,168,Active,,,https://www.redfin.com/CA/San-Diego/15575-Canton-Ridge-Ter-92127/home/12153830,SDMLS,220022957,N,Y,33.017484,-117.1451566
MLS Listing,,Condo/Co-op,8143 Auberge Cir,San Diego,CA,92127,1105000,2,2.0,San Diego,1276,213473,2016,8,866,274,Active,,,https://www.redfin.com/CA/San-Diego/8143-Auberge-Cir-92127/home/143237489,SDMLS,220022944,N,Y,33.0054287,-117.1419842
MLS Listing,,Single Family Residential,2488 Azure Coast,La Jolla,CA,92037,1450000,3,2.0,La Jolla,1700,,1977,8,853,280,Active,September-18-2022 01:00 PM,September-18-2022 03:00 PM,https://www.redfin.com/CA/La-Jolla/2488-Azure-Coast-Dr-92037/home/4920710,SDMLS,220022926,N,Y,32.84939,-117.2491699
MLS Listing,,Single Family Residential,7021 Melody Ln,La Mesa,CA,91942,799000,2,2.0,La Mesa,1353,10874,1965,8,591,,Active,September-18-2022 01:00 PM,September-18-2022 03:00 PM,https://www.redfin.com/CA/La-Mesa/7021-Melody-Ln-91942/home/5450673,SDMLS,220022890,N,Y,32.7769622,-117.041963
MLS Listing,,Multi-Family (2-4 Unit),5029-1/2 Williams Ave,La Mesa,CA,91942,839900,2,2.0,91942 - La Mesa,1178,6777,1950,9,713,,Active,,,https://www.redfin.com/CA/La-Mesa/5029-1-2-Williams-Ave-91942/home/180891703,CRMLS,PTP2205940,N,Y,32.770461,-117.0369054
MLS Listing,,Single Family Residential,9565 Gregory St,La Mesa,CA,91942,835000,3,2.5,La Mesa,1556,7400,1956,11,537,,Active,,,https://www.redfin.com/CA/La-Mesa/9565-Gregory-St-91942/home/5586416,SDMLS,220022834,N,Y,32.7901286,-116.9906917
MLS Listing,,Single Family Residential,7451 Hillside,La Jolla,CA,92037,15900000,6,5.5,La Jolla,9022,16000,2022,11,1762,,Active,,,https://www.redfin.com/CA/La-Jolla/7451-Hillside-Dr-92037/home/6650635,SDMLS,220022833,N,Y,32.8465208,-117.2581619
MLS Listing,,Townhouse,5715 Baltimore Dr #111,La Mesa,CA,91942,775000,4,3.0,91942 - La Mesa,1612,118483,1979,11,481,295,Active,,,https://www.redfin.com/CA/La-Mesa/5715-Baltimore-Dr-91942/unit-111/home/6425335,CRMLS,PTP2205920,N,Y,32.7855876,-117.0340087
MLS Listing,,Condo/Co-op,2055 Caminito San Nicholas,La Jolla,CA,92037,1500000,3,2.5,92037 - La Jolla,2056,259507,1974,12,730,1043,Active,,,https://www.redfin.com/CA/La-Jolla/2055-Caminito-San-Nicholas-92037/home/4942029,CRMLS,NDP2209172,N,Y,32.8228144,-117.2391993
MLS Listing,,Condo/Co-op,11263 Avenida De Los Lobos Unit D,San Diego,CA,92127,599900,3,2.0,Rancho Bernardo,1230,237387,1990,12,488,355,Active,,,https://www.redfin.com/CA/San-Diego/11263-Avenida-De-Los-Lobos-92127/unit-D/home/6278742,SDMLS,220022774,N,Y,33.0027076,-117.0908312
